postnummer,week,weekno,postnummer_first_2,Utbildning: Förgymnasial,Utbildning: Gymnasial,Utbildning: Eftergymnasial mindre än 3 år,Utbildning: Eftergymnasial 3 år eller längre inkl. forskarutbildning,Utbildning: Uppgift saknas,"Bakgrund: Svensk, född i Sverige med båda föräldrarna födda i Sverige","Bakgrund: Svensk, född i Sverige med en förälder född i Sverige","Bakgrund: Utländsk, född utomlands","Bakgrund: Utländsk, född i Sverige med båda föräldrarna födda utomlands",Upplåtelse: Äganderätt,Upplåtelse: Bostadsrätt,Upplåtelse: Hyresrätt,Upplåtelse: Uppgift saknas,0 personbilar,1 personbil,2 personbilar,"Bransch: Jordbruk, skogsbruk, jakt och fiske",Bransch: Tillverkning och utvinning,Bransch: Energi och miljöverksamhet,Bransch: Byggverksamhet,Bransch: Handel,Bransch: Transport och magasinering,Bransch: Hotell- och restaurangverksamhet,Bransch: Information och kommunikation,Bransch: Finans- och försäkringsverksamhet,Bransch: Fastighetsverksamhet,Bransch: Företagstjänster,Bransch: Offentlig förvaltning och försvar,Bransch: Utbildning,"Bransch: Vård och omsorg, sociala tjänster",Bransch: Kulturella och personliga tjänster m.m.,Bransch: Okänd verksamhet,Medelantal personer per hushåll
74139,2020w26,26,74XXX,0.074468085,0.439716312,0.180851064,0.290780142,0.014184397,0.609841828,0.079086116,0.263620387,0.04745167,0,0.625,0.36971831,0.00528169,372,136,14,0.020338983,0.054237288,0.020338983,0.077966102,0.13220339,0.13559322,0.050847458,0.047457627,0.030508475,0.010169492,0.13220339,0.057627119,0.071186441,0.101694915,0.037288136,0.020338983,1.5
74140,2020w26,26,74XXX,0.124645892,0.402266289,0.184135977,0.263456091,0.025495751,0.582172702,0.068245125,0.278551532,0.071030641,0.030640669,0.534818942,0.413649025,0.020891365,384,184,18,0.008645533,0.051873199,0,0.080691643,0.089337176,0.095100865,0.04610951,0.054755043,0.017291066,0.025936599,0.106628242,0.089337176,0.11815562,0.152737752,0.054755043,0.008645533,1.9
74141,2020w26,26,74XXX,0.043165468,0.351079137,0.148201439,0.448920863,0.008633094,0.731245448,0.101238165,0.127458121,0.040058267,0.279154519,0.523323615,0,0.197521866,510,437,35,0.004132231,0.05922865,0.011019284,0.05785124,0.112947658,0.073002755,0.024793388,0.066115702,0.022038567,0.019283747,0.143250689,0.081267218,0.166666667,0.126721763,0.031680441,0,2.3
74142,2020w26,26,74XXX,0.066600398,0.348906561,0.160039761,0.421471173,0.002982107,0.781922525,0.091343855,0.102343376,0.024390244,0.75083692,0.158297465,0.083692013,0.007173601,798,565,95,0.003717472,0.066914498,0.00929368,0.053903346,0.098513011,0.089219331,0.018587361,0.057620818,0.030669145,0.021375465,0.161710037,0.089219331,0.142193309,0.099442379,0.05204461,0.005576208,2.9
74143,2020w26,26,74XXX,0.187028658,0.438914027,0.128205128,0.214177979,0.031674208,0.552715655,0.091054313,0.283546326,0.072683706,0.182907348,0.134984026,0.670127796,0.011980831,628,298,29,0.012367491,0.06360424,0.007067138,0.075971731,0.118374558,0.093639576,0.042402827,0.019434629,0.005300353,0.012367491,0.128975265,0.053003534,0.134275618,0.197879859,0.035335689,0,2.1
74144,2020w26,26,74XXX,0.051724138,0.271551724,0.185344828,0.443965517,0.047413793,0.770877944,0.094218415,0.113490364,0.021413276,0.899357602,0,0.059957173,0.040685225,206,108,23,0,0.046218487,0.016806723,0.067226891,0.117647059,0.067226891,0.012605042,0.067226891,0.042016807,0.025210084,0.176470588,0.084033613,0.105042017,0.130252101,0.042016807,0,3
74145,2020w26,26,74XXX,0.04517134,0.339563863,0.165109034,0.443925234,0.00623053,0.741679873,0.103011094,0.11251981,0.042789223,0.642347343,0.329103886,0.002379064,0.026169707,367,304,61,0,0.056316591,0.00456621,0.070015221,0.120243531,0.066971081,0.0304414,0.095890411,0.03957382,0.01826484,0.156773212,0.086757991,0.127853881,0.109589041,0.01674277,0,3.3
74146,2020w26,26,74XXX,0.026490066,0.283443709,0.164238411,0.511258278,0.014569536,0.756809339,0.106355383,0.095330739,0.04150454,0.885214008,0.070038911,0.037613489,0.007133593,482,323,87,0.003836317,0.074168798,0.003836317,0.052429668,0.118925831,0.08056266,0.025575448,0.103580563,0.034526854,0.016624041,0.130434783,0.085677749,0.126598466,0.098465473,0.040920716,0.003836317,3.6
74147,2020w26,26,74XXX,0.038575668,0.390207715,0.197329377,0.366468843,0.007418398,0.62983871,0.101612903,0.192741936,0.075806452,0.137903226,0.5,0.123387097,0.238709677,397,327,42,0,0.051968504,0.011023622,0.110236221,0.129133858,0.092913386,0.02992126,0.056692913,0.020472441,0.017322835,0.14488189,0.078740157,0.100787402,0.122834646,0.033070866,0,2.7
74171,2020w26,26,74XXX,0,1,0,0,0,0,0,1,0,0,0,0.5,0.5,3,3,0,,,,,,,,,,,,,,,,,2
74190,2020w26,26,74XXX,0.125,0.454545455,0.110795455,0.255681818,0.053977273,0.707317073,0.134146342,0.138719512,0.019817073,0.847560976,0,0.016768293,0.135670732,260,191,44,0.017647059,0.067647059,0.011764706,0.161764706,0.120588235,0.073529412,0.017647059,0.038235294,0.026470588,0.011764706,0.126470588,0.082352941,0.091176471,0.114705882,0.038235294,0,2.5
74191,2020w26,26,74XXX,0.085877863,0.402671756,0.148854962,0.347328244,0.015267176,0.761622156,0.091988131,0.117705242,0.028684471,0.940652819,0,0.010880317,0.048466864,346,335,63,0.03030303,0.053030303,0.005681818,0.136363636,0.087121212,0.071969697,0.018939394,0.049242424,0.020833333,0.018939394,0.128787879,0.077651515,0.111742424,0.102272727,0.068181818,0.018939394,2.6
74192,2020w26,26,74XXX,0.086340206,0.359536083,0.144329897,0.382731959,0.027061856,0.757217848,0.089238845,0.122703412,0.030839895,0.895013123,0,0.066929134,0.038057743,524,419,97,0.012870013,0.072072072,0.016731017,0.114543115,0.102960103,0.061776062,0.02960103,0.070785071,0.024453024,0.025740026,0.12998713,0.065637066,0.128700129,0.106821107,0.02960103,0.007722008,3
74193,2020w26,26,74XXX,0.066666667,0.473015873,0.120634921,0.33015873,0.00952381,0.796357616,0.082781457,0.091059603,0.029801325,0.947107438,0,0.011570248,0.041322314,216,173,50,0.046783626,0.078947368,0.01754386,0.134502924,0.108187135,0.049707602,0.01754386,0.038011696,0.01754386,0.026315789,0.149122807,0.064327485,0.119883041,0.093567251,0.038011696,0,2.5
74194,2020w26,26,74XXX,0.112,0.472,0.136,0.266666667,0.013333333,0.779349364,0.113154173,0.093352192,0.014144272,0.906779661,0,0.008474576,0.084745763,251,223,47,0.055837563,0.076142132,0.007614213,0.088832487,0.11928934,0.104060914,0.017766497,0.050761421,0.02284264,0.017766497,0.147208122,0.055837563,0.093908629,0.086294416,0.038071066,0.017766497,2.6
74195,2020w26,26,74XXX,0.136288998,0.559934319,0.119868637,0.175697865,0.008210181,0.807829182,0.077402135,0.086298932,0.028469751,0.927175844,0,0.005328597,0.06749556,416,339,111,0.069073783,0.056514914,0.017268446,0.144427002,0.095761381,0.127158556,0.018838305,0.028257457,0,0.015698587,0.130298273,0.047095761,0.091051805,0.091051805,0.042386185,0.025117739,2.4
74231,2020w26,26,74XXX,0.107611549,0.632545932,0.104986877,0.12335958,0.031496063,0.845350052,0.054336468,0.084639498,0.015673981,0.146290491,0.549634274,0.258098224,0.045977011,519,354,22,0.0078125,0.140625,0.130208333,0.080729167,0.1015625,0.052083333,0.026041667,0,0,0.015625,0.098958333,0.049479167,0.104166667,0.166666667,0.026041667,0,1.5
74232,2020w26,26,74XXX,0.073619632,0.527607362,0.150306749,0.23006135,0.018404908,0.845375723,0.079479769,0.063583815,0.011560694,0.882947977,0,0.093930636,0.023121387,294,203,38,0,0.145772595,0.148688047,0.087463557,0.075801749,0.020408163,0.034985423,0,0.017492711,0,0.093294461,0.049562682,0.096209913,0.183673469,0.04664723,0,2.4
74233,2020w26,26,74XXX,0.073891626,0.586206897,0.113300493,0.226600985,0,0.848970252,0.082379863,0.061784897,0.006864989,0.842465753,0.121004566,0.03652968,0,173,158,25,0.013888889,0.199074074,0.12962963,0.055555556,0.097222222,0.032407407,0,0.013888889,0,0.013888889,0.078703704,0.046296296,0.106481482,0.175925926,0.037037037,0,2.2
74234,2020w26,26,74XXX,0.218323587,0.475633528,0.13840156,0.132553606,0.035087719,0.674664108,0.073896353,0.208253359,0.04318618,0.246641075,0.121880998,0.532629559,0.098848369,519,274,24,0,0.150561798,0.103370787,0.06741573,0.08988764,0.060674157,0.031460674,0.006741573,0.006741573,0,0.134831461,0.024719101,0.078651685,0.215730337,0.015730337,0.013483146,1.8
74235,2020w26,26,74XXX,0.094674556,0.571005917,0.142011834,0.192307692,0,0.834403081,0.051347882,0.097560976,0.016688062,1,0,0,0,297,242,42,0,0.203438395,0.189111748,0.088825215,0.083094556,0.022922636,0.022922636,0.017191977,0,0.011461318,0.06017192,0.034383954,0.100286533,0.157593123,0,0.008595989,2.6
74236,2020w26,26,74XXX,0.093506494,0.553246753,0.145454546,0.192207792,0.015584416,0.847001224,0.062423501,0.064871481,0.025703794,0.76499388,0.204406365,0.030599755,0,328,249,47,0,0.117096019,0.192037471,0.084309133,0.088992974,0.039812646,0.014051522,0.011709602,0.007025761,0.007025761,0.077283372,0.046838407,0.138173302,0.135831382,0.032786885,0.007025761,2.4
74241,2020w26,26,74XXX,0.114186851,0.553633218,0.141868512,0.169550173,0.020761246,0.8625,0.0625,0.0640625,0.0109375,0.647335423,0.120689655,0.217868339,0.014106583,269,199,29,0.016835017,0.178451179,0.168350168,0.087542088,0.074074074,0.053872054,0.026936027,0.01010101,0,0,0.070707071,0.063973064,0.087542088,0.134680135,0.026936027,0,2.1
74242,2020w26,26,74XXX,0.134782609,0.608695652,0.095652174,0.160869565,0,0.863406408,0.057335582,0.064080944,0.015177066,0.337268128,0.266441821,0.320404722,0.075885329,350,200,14,0.011952191,0.163346614,0.131474104,0.06374502,0.099601594,0.051792829,0.023904382,0,0.011952191,0.027888446,0.135458167,0.039840637,0.06374502,0.143426295,0.015936255,0.015936255,1.5
74243,2020w26,26,74XXX,0.067264574,0.556053812,0.107623318,0.233183857,0.035874439,0.827510917,0.069868996,0.096069869,0.006550218,0.923913044,0,0,0.076086957,162,150,31,0.025862069,0.206896552,0.155172414,0.086206897,0.064655172,0.025862069,0.034482759,0,0,0,0.112068966,0.056034483,0.094827586,0.112068966,0.025862069,0,2.4
74250,2020w26,26,74XXX,0.130769231,0.576923077,0.1,0.146153846,0.046153846,0.790322581,0.058064516,0.132258065,0.019354839,0.758064516,0,0.206451613,0.035483871,135,112,13,0.027522936,0.311926606,0.055045872,0.091743119,0.064220183,0.055045872,0.027522936,0,0,0,0.073394495,0,0.055045872,0.128440367,0.082568807,0.027522936,1.9
74291,2020w26,26,74XXX,0.103448276,0.610344828,0.124137931,0.162068966,0,0.881638847,0.047040971,0.047040971,0.024279211,0.91969697,0,0.010606061,0.06969697,285,218,27,0.077160494,0.089506173,0.114197531,0.138888889,0.074074074,0.027777778,0,0,0.009259259,0.012345679,0.111111111,0.040123457,0.101851852,0.148148148,0.030864198,0.024691358,2.2
74292,2020w26,26,74XXX,0.119804401,0.635696822,0.114914425,0.122249389,0.007334963,0.869677419,0.064516129,0.050322581,0.015483871,0.963824289,0,0.003875969,0.032299742,343,264,49,0.086247086,0.146853147,0.111888112,0.13986014,0.058275058,0.044289044,0.006993007,0.006993007,0,0.018648019,0.083916084,0.037296037,0.076923077,0.153846154,0.013986014,0.013986014,2.1
74293,2020w26,26,74XXX,0.118644068,0.641242938,0.11299435,0.118644068,0.008474576,0.832,0.072,0.065333333,0.030666667,0.928,0,0.044,0.028,317,234,51,0.088948787,0.140161725,0.107816712,0.123989218,0.064690027,0.032345013,0.016172507,0,0,0,0.129380054,0.032345013,0.09703504,0.121293801,0.018867925,0.026954178,2.2
74294,2020w26,26,74XXX,0.19650655,0.532751092,0.096069869,0.139737991,0.034934498,0.834549878,0.04379562,0.094890511,0.02676399,0.834549878,0,0.119221411,0.04622871,193,131,31,0.111587983,0.158798283,0.137339056,0.124463519,0.090128755,0.012875536,0,0.012875536,0,0.012875536,0.08583691,0.017167382,0.090128755,0.103004292,0.025751073,0.017167382,1.9
74295,2020w26,26,74XXX,0.158273381,0.582733813,0.129496403,0.107913669,0.021582734,0.831541219,0.071684588,0.075268817,0.021505376,0.557553957,0,0.388489209,0.053956835,117,112,13,0.143884892,0.143884892,0.086330935,0.122302158,0.035971223,0.021582734,0.043165468,0,0,0,0.09352518,0.028776978,0.071942446,0.158273381,0.028776978,0.021582734,1.8
74296,2020w26,26,74XXX,0.125,0.625,0.089285714,0.160714286,0,0.886524823,0.056737589,0.056737589,0,0.872340426,0,0.056737589,0.070921986,71,43,10,0.155172414,0.224137931,0.086206897,0.120689655,0,0.051724138,0.051724138,0,0,0,0.103448276,0,0.086206897,0.068965517,0,0.051724138,1.9
74297,2020w26,26,74XXX,0.169811321,0.518867925,0.150943396,0.160377359,0,0.904580153,0.053435115,0.036259542,0.005725191,0.873804971,0,0.114722753,0.011472275,248,197,23,0.044052863,0.171806167,0.110132159,0.149779736,0.092511013,0.017621145,0.013215859,0,0,0.013215859,0.105726872,0.026431718,0.123348018,0.101321586,0.017621145,0.013215859,2
74330,2020w26,26,74XXX,0.084452975,0.454894434,0.16890595,0.284069098,0.007677543,0.761434978,0.078026906,0.122869955,0.037668161,0.760538117,0,0.239461883,0,443,275,46,0.005847953,0.070175439,0.011695906,0.079922027,0.122807018,0.052631579,0.01754386,0.033138402,0.015594542,0.021442495,0.1208577,0.070175439,0.152046784,0.183235867,0.037037037,0.005847953,2.8
74332,2020w26,26,74XXX,0.040816327,0.359183674,0.146938776,0.453061225,0,0.783050848,0.062711864,0.113559322,0.040677966,0.769491525,0.230508475,0,0,212,165,25,0.022304833,0.044609665,0.011152416,0.081784387,0.078066915,0.022304833,0.029739777,0.037174721,0.026022305,0.011152416,0.100371747,0.066914498,0.189591078,0.197026022,0.07063197,0.011152416,2.8
74334,2020w26,26,74XXX,0.046464646,0.385858586,0.183838384,0.375757576,0.008080808,0.825847846,0.077910174,0.074243813,0.021998167,0.937671861,0,0.022914757,0.039413382,406,282,58,0,0.054989817,0.018329939,0.091649695,0.109979633,0.032586558,0.018329939,0.036659878,0.012219959,0.016293279,0.140529532,0.103869654,0.17107943,0.156822811,0.036659878,0,3
74335,2020w26,26,74XXX,0.097532315,0.3960047,0.153936545,0.333725029,0.01880141,0.672980501,0.073537604,0.17994429,0.073537604,0.596100279,0.188300836,0.210584958,0.005013928,682,420,62,0.004854369,0.049757282,0.008495146,0.067961165,0.091019417,0.061893204,0.015776699,0.035194175,0.009708738,0.012135922,0.104368932,0.083737864,0.202669903,0.194174757,0.042475728,0.015776699,3
74340,2020w26,26,74XXX,0.046325879,0.340255591,0.164536741,0.444089457,0.004792332,0.814139942,0.086734694,0.081632653,0.017492711,0.963556851,0,0.015306122,0.021137026,537,378,69,0.006134969,0.078220859,0.015337423,0.081288344,0.084355828,0.038343558,0.015337423,0.04601227,0.02607362,0.021472393,0.113496933,0.110429448,0.124233129,0.190184049,0.049079755,0,2.8
74341,2020w26,26,74XXX,0.037433155,0.331550802,0.101604278,0.513368984,0.016042781,0.854497355,0.055555556,0.052910053,0.037037037,0.970822281,0,0.00795756,0.021220159,120,78,17,0,0.078125,0.015625,0.119791667,0.119791667,0.026041667,0.015625,0.03125,0.052083333,0.015625,0.125,0.083333333,0.140625,0.161458333,0.015625,0,3.7
74345,2020w26,26,74XXX,0.075723831,0.34298441,0.187082405,0.371937639,0.022271715,0.595873786,0.101941748,0.192961165,0.109223301,0,0.155339806,0.201456311,0.643203884,297,209,35,0,0.038690476,0.014880952,0.095238095,0.104166667,0.05952381,0.035714286,0.035714286,0,0.008928571,0.127976191,0.080357143,0.154761905,0.202380952,0.041666667,0,2.5
74350,2020w26,26,74XXX,0.068047337,0.397928994,0.139053254,0.384615385,0.01035503,0.841180604,0.080112439,0.06113844,0.017568517,0.905130007,0.005621926,0.079409698,0.00983837,544,418,75,0.005633803,0.104225352,0.018309859,0.088732394,0.083098592,0.030985915,0.01971831,0.038028169,0.011267606,0.021126761,0.142253521,0.054929577,0.170422535,0.170422535,0.04084507,0,2.7
74361,2020w26,26,74XXX,0.096952909,0.498614958,0.171745152,0.218836565,0.013850416,0.859237537,0.063049853,0.064516129,0.013196481,0.727272727,0,0.256598241,0.016129032,271,198,55,0.007731959,0.079896907,0.015463918,0.149484536,0.115979381,0.036082474,0.015463918,0.015463918,0.007731959,0.023195876,0.136597938,0.054123711,0.12371134,0.164948454,0.046391753,0.007731959,2.4
74362,2020w26,26,74XXX,0.054597701,0.528735632,0.126436782,0.270114943,0.020114943,0.76957164,0.078286558,0.122599705,0.029542097,0.626292467,0.234859675,0.112259971,0.026587888,261,203,34,0.009345794,0.052959502,0.024922118,0.16199377,0.118380062,0.037383178,0.018691589,0.018691589,0,0.018691589,0.118380062,0.059190031,0.16199377,0.177570094,0.021806854,0,2.6
74363,2020w26,26,74XXX,0.074410163,0.517241379,0.141560799,0.252268603,0.014519056,0.811151079,0.071942446,0.088129496,0.028776978,0.983827493,0,0.008086253,0.008086253,410,309,81,0.007168459,0.051971326,0.008960573,0.120071685,0.125448029,0.044802867,0.014336918,0.023297491,0.010752688,0.019713262,0.129032258,0.055555556,0.157706093,0.184587814,0.037634409,0.008960573,2.8
74364,2020w26,26,74XXX,0.08365019,0.5,0.153992395,0.25095057,0.011406844,0.85258216,0.077934272,0.057276995,0.012206573,0.763380282,0.05915493,0.050704225,0.126760563,405,262,66,0.005586592,0.065176909,0.014897579,0.130353818,0.13594041,0.031657356,0.029795158,0.031657356,0.014897579,0.013035382,0.121042831,0.067039106,0.143389199,0.162011173,0.027932961,0.005586592,2.8
74371,2020w26,26,74XXX,0.086553323,0.56877898,0.142194745,0.194744977,0.007727975,0.878466558,0.066068516,0.044045677,0.01141925,0.934747145,0,0.009787928,0.055464927,491,313,113,0.04610951,0.076368876,0.018731988,0.15129683,0.103746398,0.066282421,0.010086455,0.027377522,0,0.015850144,0.122478386,0.060518732,0.134005764,0.115273775,0.041786744,0.010086455,2.7
74372,2020w26,26,74XXX,0.138554217,0.578313253,0.093373494,0.189759036,0,0.832307692,0.064615385,0.089230769,0.013846154,0.92791411,0,0.039877301,0.032208589,259,196,37,0.050420168,0.095238095,0.016806723,0.159663866,0.089635854,0.053221289,0.008403361,0,0,0.011204482,0.092436975,0.070028011,0.117647059,0.193277311,0.025210084,0.016806723,2.6
74373,2020w26,26,74XXX,0.090909091,0.526645768,0.144200627,0.222570533,0.015673981,0.845486111,0.053819444,0.081597222,0.019097222,0.859375,0,0.097222222,0.043402778,232,164,47,0.082111437,0.061583578,0.008797654,0.114369502,0.11143695,0.064516129,0.017595308,0.023460411,0,0.035190616,0.129032258,0.06744868,0.096774194,0.126099707,0.052785924,0.008797654,2.5
74374,2020w26,26,74XXX,0.088068182,0.528409091,0.125,0.25,0.008522727,0.846266471,0.074670571,0.061493411,0.017569546,0.900439239,0,0,0.099560761,240,183,46,0.036827195,0.059490085,0.025495751,0.206798867,0.113314448,0.067988669,0.008498584,0.019830028,0,0.025495751,0.099150142,0.039660057,0.093484419,0.161473088,0.042492918,0,2.7
74381,2020w26,26,74XXX,0.046376812,0.468115942,0.152173913,0.327536232,0.005797101,0.84273183,0.068295739,0.067042607,0.021929825,0.90726817,0.04197995,0.045112782,0.005639098,565,432,94,0.012195122,0.069105691,0.008130081,0.104336043,0.135501355,0.039295393,0.024390244,0.033875339,0.016260163,0.014905149,0.117886179,0.079945799,0.146341463,0.151761518,0.046070461,0,2.9
74382,2020w26,26,74XXX,0.065681445,0.438423645,0.183908046,0.300492611,0.011494253,0.875688434,0.051927616,0.051927616,0.020456334,0.952006294,0,0.011801731,0.036191975,459,344,97,0.032786885,0.053651267,0.010432191,0.104321908,0.141579732,0.056631893,0.022354694,0.031296572,0.020864382,0.02533532,0.102831595,0.107302534,0.114754098,0.138599106,0.032786885,0.004470939,2.9
74386,2020w26,26,74XXX,0.110787172,0.489795918,0.147230321,0.247813411,0.004373178,0.854074074,0.071851852,0.054814815,0.019259259,0.873333333,0,0.026666667,0.1,513,368,110,0.031636864,0.068775791,0.012379642,0.148555708,0.085281981,0.052269601,0.020632737,0.031636864,0.008253095,0.030261348,0.119669876,0.061898212,0.115543329,0.147180193,0.057771664,0.008253095,2.6
74387,2020w26,26,74XXX,0.157024793,0.58677686,0.119834711,0.111570248,0.024793388,0.885964912,0.072368421,0.035087719,0.006578947,0.967248908,0,0.006550218,0.026200873,181,154,31,0.052238806,0.037313433,0.02238806,0.175373134,0.111940299,0.052238806,0.02238806,0.01119403,0.01119403,0.02238806,0.123134328,0.02238806,0.119402985,0.141791045,0.052238806,0.02238806,2.4
74391,2020w26,26,74XXX,0.114516129,0.54516129,0.120967742,0.206451613,0.012903226,0.815916399,0.097266881,0.069131833,0.017684887,0.917202572,0,0.011254019,0.071543408,440,365,84,0.041538462,0.069230769,0.015384615,0.150769231,0.14,0.035384615,0.012307692,0.029230769,0.010769231,0.021538462,0.112307692,0.058461538,0.126153846,0.124615385,0.043076923,0.009230769,2.8
74392,2020w26,26,74XXX,0.094736842,0.463157895,0.221052632,0.221052632,0,0.84057971,0.082125604,0.062801932,0.014492754,0.878640777,0,0.058252427,0.063106796,94,57,15,0.043103448,0.043103448,0.025862069,0.094827586,0.129310345,0.025862069,0.025862069,0.043103448,0,0.051724138,0.198275862,0.025862069,0.146551724,0.094827586,0.025862069,0.025862069,2.6
74393,2020w26,26,74XXX,0.086834734,0.50140056,0.120448179,0.291316527,0,0.874815906,0.055964654,0.0544919,0.014727541,0.874815906,0,0.020618557,0.104565538,273,189,62,0.046153846,0.051282051,0.025641026,0.148717949,0.11025641,0.071794872,0.01025641,0.017948718,0,0.017948718,0.102564103,0.058974359,0.130769231,0.171794872,0.035897436,0,2.6
74394,2020w26,26,74XXX,0.13740458,0.538167939,0.09351145,0.211832061,0.019083969,0.78550149,0.082423039,0.11122145,0.020854022,0.761668322,0.08142999,0.085402185,0.071499503,407,288,63,0.018761726,0.07879925,0.018761726,0.161350844,0.106941839,0.065666041,0.016885553,0.011257036,0,0.018761726,0.110694184,0.056285178,0.123827392,0.17260788,0.033771107,0.005628518,2.4
74431,2020w26,26,74XXX,0.123126338,0.565310493,0.150963597,0.145610278,0.014989293,0.717923604,0.061214496,0.178256611,0.042605289,0.637610186,0.130264447,0.191968658,0.040156709,883,570,147,0.021493213,0.076923077,0.004524887,0.123303167,0.179864253,0.035067873,0.031674208,0.012443439,0,0.029411765,0.06561086,0.044117647,0.110859729,0.205882353,0.048642534,0.010180995,2.2
