basomrade,year,mean_income_aged_gt_20,post_secondary_education_min_3_years_aged_25_64,population_aged_gt_20,municipality
5423201_solsidan_norr,2009,578272.53,0.684931507,100,0182_nacka
2220200_hoglandet,2007,578169.69,0.567528736,902,0180_stockholm
3413830_kottla_molna_kappsta,2013,577714.82,0.553264605,1177,0186_lidingo
1230140_oscarskyrkan,2014,577544.74,0.542978723,1975,0180_stockholm
3414250_ostra_kappala,2006,576608.2,0.58,421,0186_lidingo
2220700_stora_mossen,2013,575843.66,0.637377964,1032,0180_stockholm
2220600_smedslatten,2012,574876.47,0.593474427,1686,0180_stockholm
2220200_hoglandet,2010,574434.48,0.592485549,925,0180_stockholm
3411200_islinge,2012,574431.7,0.573696145,585,0186_lidingo
3110270_nora,2012,574366.01,0.623357664,960,0162_danderyd
3110440_sodra_djursholm,2007,574126.58,0.592314119,1851,0162_danderyd
1230110_karlaplan,2011,573337.17,0.572139303,1017,0180_stockholm
1320330_lindhagensplan,2014,572861.97,0.596153846,116,0180_stockholm
3411510_bo,2011,572742.21,0.643137255,768,0186_lidingo
2220700_stora_mossen,2012,572650.01,0.639945652,1040,0180_stockholm
3110540_sodra_stocksund,2013,572521.07,0.568211921,2149,0162_danderyd
3110510_norra_stocksund,2007,572231.53,0.637824475,1034,0162_danderyd
2221000_alsten,2008,570954.77,0.60472155,2139,0180_stockholm
3110430_norra_djursholm,2011,570620.29,0.545318352,2251,0162_danderyd
5411800_duvnas,2014,570518.92,0.616935484,1756,0182_nacka
2221000_alsten,2007,569835.41,0.593862816,2116,0180_stockholm
3110450_osby,2011,569698.97,0.649202733,630,0162_danderyd
3414320_hogberga,2014,569050.1,0.532258065,1094,0186_lidingo
3411400_bo_garde,2014,568988.69,0.631746032,467,0186_lidingo
1230110_karlaplan,2010,568853.87,0.556818182,1001,0180_stockholm
2220300_nockeby,2013,568844.42,0.586894587,2192,0180_stockholm
3413220_norra_hersby,2011,568765.85,0.615012107,591,0186_lidingo
1210132_danderydsplan_o,2014,568523.13,0.566068515,985,0180_stockholm
3910140_nasby_slott,2011,568390.59,0.54756871,689,0160_taby
2221100_appelviken,2012,567095.09,0.567982456,1286,0180_stockholm
3411110_norra_sticklinge,2007,567023.47,0.522058824,1284,0186_lidingo
5411800_duvnas,2013,566033.95,0.603378922,1763,0182_nacka
3110430_norra_djursholm,2010,565656.14,0.534623976,2229,0162_danderyd
3910310_sodra_viggbyholm,2012,564616.79,0.527713626,1194,0160_taby
3411110_norra_sticklinge,2010,564561.57,0.529980658,1274,0186_lidingo
2221000_alsten,2009,564312.85,0.613650213,2156,0180_stockholm
3413230_sodra_hersby,2011,563688.02,0.550858653,988,0186_lidingo
3413230_sodra_hersby,2012,563628.57,0.554821664,1003,0186_lidingo
3110450_osby,2012,563627.37,0.636363636,628,0162_danderyd
1230110_karlaplan,2007,563593.7,0.56568779,990,0180_stockholm
5423201_solsidan_norr,2010,563276.47,0.666666667,97,0182_nacka
3610810_falkberget,2002,563134,0.458823529,89,0163_sollentuna
3411110_norra_sticklinge,2006,561439.44,0.505106778,1272,0186_lidingo
2211130_angbyhojden,2005,561286.47,0.63322884,404,0180_stockholm
1210132_danderydsplan_o,2013,560876.09,0.569306931,957,0180_stockholm
2211121_farjestadsvagen_v,2010,560388.18,0.688090737,669,0180_stockholm
3110460_ekeby,2014,560103.58,0.567179487,1482,0162_danderyd
3610920_ostra_helenelund,2014,559470,0.593656493,2257,0163_sollentuna
3110430_norra_djursholm,2012,559196.69,0.549401198,2279,0162_danderyd
3910140_nasby_slott,2010,559051.21,0.540425532,682,0160_taby
3413140_herserud,2014,558934.87,0.560747664,762,0186_lidingo
3413140_herserud,2012,558825.41,0.573359073,720,0186_lidingo
3910140_nasby_slott,2012,558748.19,0.545064378,695,0160_taby
2221100_appelviken,2011,558481.88,0.578774617,1268,0180_stockholm
3110430_norra_djursholm,2008,558115.15,0.521771218,2201,0162_danderyd
3110430_norra_djursholm,2007,557705.84,0.518491661,2206,0162_danderyd
3413220_norra_hersby,2010,557269.45,0.604705882,606,0186_lidingo
3610920_ostra_helenelund,2013,556943.84,0.584652862,2191,0163_sollentuna
3110510_norra_stocksund,2009,556915.98,0.640198511,1044,0162_danderyd
3411510_bo,2008,556313.91,0.60754717,766,0186_lidingo
3110540_sodra_stocksund,2011,555921.71,0.561298873,2118,0162_danderyd
3910140_nasby_slott,2014,555424.91,0.555798687,715,0160_taby
3413140_herserud,2011,555173.92,0.561886051,718,0186_lidingo
3910140_nasby_slott,2013,554220.34,0.560706402,692,0160_taby
2220700_stora_mossen,2011,554164.04,0.636986301,1027,0180_stockholm
2221100_appelviken,2008,553751.57,0.567021277,1233,0180_stockholm
1230110_karlaplan,2009,553388.29,0.547107438,992,0180_stockholm
3413830_kottla_molna_kappsta,2012,553298.08,0.541189931,1194,0186_lidingo
3110270_nora,2010,552757.76,0.596125186,940,0162_danderyd
3413230_sodra_hersby,2008,552625.93,0.534361851,913,0186_lidingo
1230140_oscarskyrkan,2012,552440,0.537099494,1936,0180_stockholm
3910350_norra_viggbyholm,2014,551389.1,0.517786561,367,0160_taby
3411400_bo_garde,2013,550923.44,0.611650485,461,0186_lidingo
3110540_sodra_stocksund,2012,550457.05,0.566866267,2140,0162_danderyd
2220600_smedslatten,2011,549997.36,0.582677165,1693,0180_stockholm
3610920_ostra_helenelund,2012,549977.22,0.574119077,2196,0163_sollentuna
3411110_norra_sticklinge,2009,549720.56,0.528037383,1292,0186_lidingo
2220700_stora_mossen,2008,549462.42,0.609561753,1002,0180_stockholm
3910140_nasby_slott,2008,548788.89,0.529535865,668,0160_taby
3110440_sodra_djursholm,2006,547876.58,0.58077879,1856,0162_danderyd
2211130_angbyhojden,2006,547397.23,0.633757962,404,0180_stockholm
2220300_nockeby,2012,546812.65,0.5841022,2175,0180_stockholm
3413830_kottla_molna_kappsta,2011,546096.79,0.524082569,1166,0186_lidingo
3411510_bo,2009,545942.96,0.609375,755,0186_lidingo
2220500_olovslund,2014,545530.55,0.553113553,387,0180_stockholm
3414250_ostra_kappala,2005,544651.08,0.552941176,410,0186_lidingo
5423230_tattby,2014,544375.14,0.576785714,889,0182_nacka
5423201_solsidan_norr,2005,544106.37,0.641025641,96,0182_nacka
3910170_ostra_nasbypark,2014,543970.86,0.544161677,1996,0160_taby
1230390_ladugardsgardet,2006,543854,0.425287356,106,0180_stockholm
5411330_vikdalen,2014,543795.67,0.517730496,166,0182_nacka
2221100_appelviken,2009,542757.96,0.583423036,1249,0180_stockholm
1010250_brunkeberg,2011,542396.13,0.631067961,118,0180_stockholm
3413230_sodra_hersby,2010,542393.16,0.526595745,958,0186_lidingo
3414320_hogberga,2013,542388.52,0.518102372,1093,0186_lidingo
3413220_norra_hersby,2007,541770.77,0.576923077,586,0186_lidingo
2220600_smedslatten,2010,541601.61,0.583404619,1715,0180_stockholm
1230110_karlaplan,2008,541556.62,0.533117932,983,0180_stockholm
3110450_osby,2013,541420.6,0.630872483,643,0162_danderyd
3610810_falkberget,2005,540953.05,0.471830986,154,0163_sollentuna
2220300_nockeby,2011,540884.08,0.57092942,2184,0180_stockholm
3110540_sodra_stocksund,2010,540718.24,0.541747573,2112,0162_danderyd
1210140_eriksberg,2013,539676.31,0.559734513,1316,0180_stockholm
3910190_lahall,2014,539430.16,0.547058824,714,0160_taby
3411200_islinge,2010,538699.98,0.533333333,575,0186_lidingo
2211121_farjestadsvagen_v,2009,538427.21,0.702651515,682,0180_stockholm
2220200_hoglandet,2009,537934.95,0.579022989,926,0180_stockholm
3110110_ostra_enebyberg,2014,537657.87,0.612126246,1750,0162_danderyd
5411800_duvnas,2012,537502.15,0.596774194,1752,0182_nacka
1320330_lindhagensplan,2013,537225.36,0.539215686,119,0180_stockholm
2221100_appelviken,2010,537065.93,0.586169045,1259,0180_stockholm
3610920_ostra_helenelund,2011,537050.88,0.570996979,2202,0163_sollentuna
3910310_sodra_viggbyholm,2011,536724.45,0.502314815,1188,0160_taby
3414320_hogberga,2012,536394.93,0.509408602,1039,0186_lidingo
3411510_bo,2007,536338.26,0.592057762,770,0186_lidingo
3413830_kottla_molna_kappsta,2010,536195.81,0.514772727,1148,0186_lidingo
5423230_tattby,2012,536095.74,0.568345324,870,0182_nacka
3110270_nora,2009,536061.85,0.589781022,946,0162_danderyd
3414320_hogberga,2009,535272.74,0.497326203,999,0186_lidingo
2220200_hoglandet,2006,534918.95,0.565656566,906,0180_stockholm
3412100_elfvik,2011,534389.72,0.516666667,249,0186_lidingo
1210120_larkstaden,2013,533887.28,0.516900247,1900,0180_stockholm
3910350_norra_viggbyholm,2013,533816.27,0.513513514,381,0160_taby
3110450_osby,2009,533719.69,0.605504587,624,0162_danderyd
2220600_smedslatten,2006,533623.29,0.556126821,1665,0180_stockholm
5423230_tattby,2013,532954.77,0.570175439,884,0182_nacka
1010250_brunkeberg,2009,532747.55,0.591836735,105,0180_stockholm
1210120_larkstaden,2014,532573.28,0.518703242,1904,0180_stockholm
1210120_larkstaden,2012,532028.18,0.528791565,1908,0180_stockholm
2220700_stora_mossen,2010,532006.97,0.624324324,1021,0180_stockholm
3110450_osby,2010,531636.09,0.611627907,619,0162_danderyd
4311443_kullon,2013,531507.97,0.584269663,477,0187_vaxholm
3220211_alvnas,2014,531445.56,0.384210526,455,0125_ekero
2221100_appelviken,2007,531380.71,0.568690096,1234,0180_stockholm
4311443_kullon,2014,531291.6,0.594654788,487,0187_vaxholm
3110280_klingsta,2014,530968.39,0.585164835,1103,0162_danderyd
1210132_danderydsplan_o,2012,530921.88,0.555735057,957,0180_stockholm
3220262_gallsta_o,2014,529342.88,0.496801706,550,0125_ekero
3110540_sodra_stocksund,2008,529081.22,0.533419023,2049,0162_danderyd
3910140_nasby_slott,2007,528930.19,0.519587629,664,0160_taby
1220120_dramatiska_teatern,2012,528919.69,0.477508651,410,0180_stockholm
5411900_hasthagen,2014,528840.02,0.561702128,319,0182_nacka
5411800_duvnas,2011,528633.62,0.586012862,1736,0182_nacka
3110620_berga,2014,528624.58,0.612546125,400,0162_danderyd
1010250_brunkeberg,2008,528562.65,0.6,105,0180_stockholm
3413220_norra_hersby,2009,528556.9,0.591549296,597,0186_lidingo
3412100_elfvik,2010,528300.64,0.480874317,247,0186_lidingo
1010250_brunkeberg,2010,528049.3,0.653465347,114,0180_stockholm
3910140_nasby_slott,2009,527370.67,0.535864979,667,0160_taby
2211121_farjestadsvagen_v,2008,527322.35,0.696394687,677,0180_stockholm
2220500_olovslund,2013,527183.68,0.546099291,391,0180_stockholm
2220600_smedslatten,2008,526782.76,0.562551104,1725,0180_stockholm
1210140_eriksberg,2012,526580.89,0.571585903,1327,0180_stockholm
5411900_hasthagen,2011,526184.65,0.515981735,296,0182_nacka
5423230_tattby,2011,526144.52,0.563055062,870,0182_nacka
2220300_nockeby,2010,526111.73,0.567719298,2166,0180_stockholm
5411800_duvnas,2008,525912.2,0.564641745,1680,0182_nacka
3413830_kottla_molna_kappsta,2008,525424.55,0.518867925,1110,0186_lidingo
5432710_sodra_lannersta,2013,524730.16,0.466809422,600,0182_nacka
3110430_norra_djursholm,2009,524386.59,0.519145803,2240,0162_danderyd
2221000_alsten,2006,524088.99,0.590493601,2073,0180_stockholm
1010310_norrlandsgatan,2014,523921.93,0.379310345,168,0180_stockholm
5423201_solsidan_norr,2007,523910.96,0.636363636,92,0182_nacka
3413140_herserud,2010,523700.52,0.556640625,712,0186_lidingo
5423400_solsidan,2006,523572.82,0.497354497,971,0182_nacka
3413230_sodra_hersby,2009,523369.12,0.53030303,934,0186_lidingo
2220700_stora_mossen,2009,523323.56,0.624489796,1009,0180_stockholm
3910350_norra_viggbyholm,2010,523294.53,0.477443609,372,0160_taby
3110450_osby,2014,523150.35,0.60619469,667,0162_danderyd
3910170_ostra_nasbypark,2013,522225.09,0.544703231,1985,0160_taby
3110510_norra_stocksund,2006,522145.77,0.647355164,1017,0162_danderyd
3411200_islinge,2008,522055.5,0.533169533,533,0186_lidingo
1010250_brunkeberg,2007,521742.97,0.636363636,111,0180_stockholm
3411400_bo_garde,2012,521676.85,0.598705502,472,0186_lidingo
3910310_sodra_viggbyholm,2010,520748.78,0.492485549,1158,0160_taby
3220211_alvnas,2013,520572.88,0.389048991,411,0125_ekero
1210140_eriksberg,2010,519443.59,0.555432373,1298,0180_stockholm
3413830_kottla_molna_kappsta,2009,519053.08,0.515938607,1112,0186_lidingo
1210120_larkstaden,2011,518760.07,0.536139793,1884,0180_stockholm
1210131_danderydsplan_v,2014,518740.7,0.551684088,1272,0180_stockholm
2220600_smedslatten,2009,518687.15,0.570475396,1730,0180_stockholm
3110270_nora,2008,518304.23,0.583210604,919,0162_danderyd
4311443_kullon,2012,517563.28,0.569506726,480,0187_vaxholm
3110450_osby,2007,517469.15,0.617577197,583,0162_danderyd
3413230_sodra_hersby,2007,517442.76,0.532374101,888,0186_lidingo
3220211_alvnas,2012,517289.3,0.394658754,400,0125_ekero
3910190_lahall,2013,517097.7,0.53877551,693,0160_taby
5411800_duvnas,2010,516848.41,0.582268371,1720,0182_nacka
3414320_hogberga,2011,516591.64,0.497354497,1018,0186_lidingo
1210161_humlegarden_o,2011,516497.62,0.556521739,473,0180_stockholm
3110540_sodra_stocksund,2009,516081.26,0.537524054,2094,0162_danderyd
3910310_sodra_viggbyholm,2009,515745.38,0.485849057,1125,0160_taby
1210120_larkstaden,2010,515489.24,0.527565084,1893,0180_stockholm
5411800_duvnas,2007,515469.44,0.56612529,1656,0182_nacka
2220600_smedslatten,2007,515293.52,0.569479966,1672,0180_stockholm
3110460_ekeby,2013,515263.78,0.565697091,1504,0162_danderyd
5423400_solsidan,2005,514909.32,0.486842105,966,0182_nacka
3220211_alvnas,2011,514738.56,0.386292835,380,0125_ekero
1230140_oscarskyrkan,2011,514613.44,0.550381033,1911,0180_stockholm
3910310_sodra_viggbyholm,2008,514491.45,0.484993998,1098,0160_taby
2220200_hoglandet,2005,514416.11,0.557352941,892,0180_stockholm
3411200_islinge,2009,514285.38,0.531914894,553,0186_lidingo
3110110_ostra_enebyberg,2013,513782.81,0.602168474,1775,0162_danderyd
3414250_ostra_kappala,2003,513546.42,0.478386167,417,0186_lidingo
1230390_ladugardsgardet,2005,513524.83,0.459770115,105,0180_stockholm
3610810_falkberget,2004,513286.7,0.4765625,136,0163_sollentuna
5423230_tattby,2010,513196.98,0.553153153,856,0182_nacka
3910170_ostra_nasbypark,2012,513002.07,0.536603774,1983,0160_taby
1220170_kronkvarnen,2014,512939.56,0.52094522,1443,0180_stockholm
1210172_stureparken_v,2014,512875.99,0.623563218,604,0180_stockholm
3220262_gallsta_o,2013,512759.08,0.466809422,555,0125_ekero
2220300_nockeby,2009,512224.55,0.558701657,2163,0180_stockholm
3610680_kvarnskogen,2014,512054.38,0.560606061,420,0163_sollentuna
5411900_hasthagen,2009,511468.42,0.495652174,290,0182_nacka
2220700_stora_mossen,2007,511230.34,0.593589744,1007,0180_stockholm
1230130_strandvagen,2014,511054.72,0.535414166,3709,0180_stockholm
1230130_strandvagen,2012,510984.03,0.528009535,3645,0180_stockholm
5432810_boo_gard,2014,510792.56,0.459657702,1032,0182_nacka
3414250_ostra_kappala,2004,510743.13,0.492795389,422,0186_lidingo
3610780_skansen,2014,510038.92,0.555974843,1149,0163_sollentuna
1210132_danderydsplan_o,2010,509860.71,0.53125,923,0180_stockholm
5411330_vikdalen,2013,509664.56,0.489655172,166,0182_nacka
5411900_hasthagen,2008,509626.76,0.504504505,283,0182_nacka
3110540_sodra_stocksund,2007,509279.63,0.528182394,2054,0162_danderyd
2210400_bromma_kyrka,2014,509025.54,0.519319938,1790,0180_stockholm
1230220_sodra_djurgarden,2008,508996.39,0.38172043,295,0180_stockholm
3610920_ostra_helenelund,2010,508930.36,0.559166156,2149,0163_sollentuna
3412100_elfvik,2014,508838.6,0.516483516,257,0186_lidingo
3110460_ekeby,2012,508746.85,0.5562249,1512,0162_danderyd
1210132_danderydsplan_o,2011,508466.38,0.540192926,951,0180_stockholm
1210140_eriksberg,2011,508344.71,0.557502738,1301,0180_stockholm
5423230_tattby,2009,508158.73,0.541889483,842,0182_nacka
5432710_sodra_lannersta,2012,507892.7,0.451820128,582,0182_nacka
3110620_berga,2013,507797.63,0.602941176,402,0162_danderyd
3910730_ella,2014,507626.87,0.502061856,1342,0160_taby
5411610_skuru,2014,507455.17,0.466485507,1454,0182_nacka
1230130_strandvagen,2013,507084.67,0.537313433,3729,0180_stockholm
2220300_nockeby,2008,506979.94,0.558864266,2134,0180_stockholm
2211121_farjestadsvagen_v,2007,506902.13,0.687956204,690,0180_stockholm
3414250_ostra_kappala,2001,506481.96,0.459537572,416,0186_lidingo
5423500_algo,2009,506128.57,0.354066986,543,0182_nacka
5411800_duvnas,2009,506122.14,0.579111458,1716,0182_nacka
3412100_elfvik,2012,505815.82,0.491712707,250,0186_lidingo
5411900_hasthagen,2010,505529.65,0.495614035,300,0182_nacka
3110260_satra,2014,505507.58,0.557377049,1524,0162_danderyd
3411110_norra_sticklinge,2005,505138.19,0.502374169,1237,0186_lidingo
3413830_kottla_molna_kappsta,2007,504955,0.511363636,1120,0186_lidingo
1310110_eira,2014,504676.08,0.56587473,2148,0180_stockholm
1210140_eriksberg,2009,504671.96,0.563636364,1306,0180_stockholm
3411520_bjornbo,2008,504623.87,0.556962025,580,0186_lidingo
1220120_dramatiska_teatern,2011,504500.05,0.478723404,394,0180_stockholm
3910190_lahall,2012,504162.27,0.534653465,708,0160_taby
3411400_bo_garde,2011,504081.2,0.58496732,457,0186_lidingo
3411200_islinge,2007,503711.48,0.524822695,535,0186_lidingo
1210161_humlegarden_o,2014,503554.65,0.553030303,558,0180_stockholm
3414320_hogberga,2010,503346.83,0.49734748,1014,0186_lidingo
3110450_osby,2008,503205.61,0.628117914,618,0162_danderyd
5411900_hasthagen,2012,503201.53,0.515283843,307,0182_nacka
3610920_ostra_helenelund,2009,502905.64,0.552077062,2146,0163_sollentuna
3910170_ostra_nasbypark,2011,502696.78,0.521994135,2002,0160_taby
1010250_brunkeberg,2014,502375.76,0.481132075,121,0180_stockholm
1210132_danderydsplan_o,2008,502152.04,0.532283465,906,0180_stockholm
3110110_ostra_enebyberg,2012,502091.02,0.605645851,1723,0162_danderyd
5423100_igelboda,2014,501967.33,0.511644833,2093,0182_nacka
1230140_oscarskyrkan,2010,501517.15,0.547797174,1914,0180_stockholm
2221100_appelviken,2006,501491.11,0.546121593,1224,0180_stockholm
3910910_skarpang,2014,501466.78,0.521407376,3173,0160_taby
3110270_nora,2007,501349.61,0.5625,913,0162_danderyd
1230140_oscarskyrkan,2009,501347.75,0.538971808,1887,0180_stockholm
3910170_ostra_nasbypark,2008,501088.69,0.504706734,1921,0160_taby
3413140_herserud,2008,500707.61,0.552536232,707,0186_lidingo
5432810_boo_gard,2013,500345.94,0.456359102,1012,0182_nacka
3110430_norra_djursholm,2006,500245.17,0.517191977,2211,0162_danderyd
3110440_sodra_djursholm,2005,500168.01,0.589211618,1853,0162_danderyd
3610920_ostra_helenelund,2008,500064.96,0.53686088,2142,0163_sollentuna
2221000_alsten,2005,500017.02,0.581687612,2083,0180_stockholm
3110430_norra_djursholm,2005,499772.17,0.501779359,2227,0162_danderyd
1310170_s_t_eriks_sjukhus,2014,499176.89,0.56422569,1242,0180_stockholm
2220300_nockeby,2007,498977.78,0.562626947,2161,0180_stockholm
3910350_norra_viggbyholm,2011,498951.45,0.488372093,377,0160_taby
3910350_norra_viggbyholm,2012,498149.22,0.484848485,392,0160_taby
3414240_killinge,2014,498088.53,0.51687389,815,0186_lidingo
